scenario,rep,r2
4b,53,0.7953217703033566
4b,54,0.8601668186939134
4b,55,0.795002817327819
4b,56,0.8204486742894338
4b,57,0.865558823094551
4b,58,0.854470551862661
4b,59,0.7892712034163585
4b,6,0.8146945193149969
4b,60,0.8711640370849039
4b,61,0.8958943499599726
4b,62,0.8440676535451147
4b,63,0.7302494371529451
4b,64,0.8706460119402286
4b,65,0.7695562225113787
4b,66,0.8435026374033002
4b,67,0.7609863681978214
4b,68,0.8570876107676809
4b,69,0.7832887300297519
4b,7,0.8664185194544098
4b,70,0.8983085447388375
4b,71,0.8846351064130983
4b,72,0.8933313538731754
4b,73,0.7999350043317356
4b,74,0.9119453318750047
4b,75,0.7984854414549106
4b,76,0.8576959085583543
4b,77,0.7975607543650908
4b,78,0.8606542006461518
4b,79,0.8596777367565568
4b,8,0.8982188309482328
4b,80,0.8113728684568675
4b,81,0.8182162079863775
4b,82,0.8705169640144085
4b,83,0.8465084872750632
4b,84,0.8955732644153467
4b,85,0.8565606317684916
4b,86,0.7932238259653596
4b,87,0.8673070418112034
4b,88,0.9122430415065726
4b,89,0.8511338257951494
4b,9,0.8053086967629447
4b,90,0.8855551969050263
4b,91,0.818422256267968
4b,92,0.8529714499761721
4b,93,0.8313397148724707
4b,94,0.768319397227387
4b,95,0.8972446840030419
4b,96,0.8276140376209862
4b,97,0.8096415635150702
4b,98,0.8139366169368389
4b,99,0.9031858261905507
6a,1,0.6267486786837886
6a,10,0.7409117143633631
6a,100,0.7473346146049386
6a,11,0.6180704348782968
6a,12,0.6981220742681095
6a,13,0.4634699738314006
6a,14,0.6719099296444747
6a,15,0.5742468050692654
6a,16,0.7160253339159716
6a,17,0.7015500974460447
6a,18,0.7212760045435475
6a,19,0.6723171833413937
6a,2,0.6124714094472105
6a,20,0.4581243293250297
6a,21,0.6382076140268734
6a,22,0.6697852858964306
6a,23,0.5748321666521541
6a,24,0.6923345879278691
6a,25,0.5768730460629304
6a,26,0.3511543325814289
6a,27,0.6275157111632815
6a,28,0.5706607109320395
6a,29,0.5721629889992039
6a,3,0.5673565571759432
6a,30,0.7060907177624235
6a,31,0.5504482285720975
6a,32,0.6077632025878102
6a,33,0.6708374971620458
6a,34,0.7068301140211132
6a,35,0.6721100732834416
6a,36,0.4572856925570303
6a,37,0.6262256169676077
6a,38,0.7396784338751549
6a,39,0.6743304726844588
6a,4,0.5994019638924817
6a,40,0.5701579375556972
6a,41,0.6252617770301548
6a,42,0.6996816775941388
6a,43,0.3592096834363607
6a,44,0.7392714220396661
6a,45,0.6537182021610891
6a,46,0.6696324259246685
6a,47,0.6928499459228086
6a,48,0.6006930416844258
6a,49,0.3006449137461461
6a,5,0.5109776095066632
6a,50,0.657748251637309
6a,51,0.6108258062238786
6a,52,0.6050540540470117
6a,53,0.590884239035351
6a,54,0.722235562454024
6a,55,0.6134386152151108
6a,56,0.6333153738865338
6a,57,0.6765864113798342
6a,58,0.7211472977283256
6a,59,0.7206485144202085
6a,6,0.559475477498176
6a,60,0.5103083730579872
6a,61,0.7259203196865246
6a,62,0.6530278823494476
6a,63,0.6257757382269633
6a,64,0.6857063596595167
6a,65,0.750342708338086
6a,66,0.6586265300746859
6a,67,0.7191162508964959
6a,68,0.7241375136940306
6a,69,0.5603478116806755
6a,7,0.6855672490535594
6a,70,0.4539101136684735
6a,71,0.6031695559523064
6a,72,0.6744477100317022
6a,73,0.7090745365956724
6a,74,0.45738302800951475
6a,75,0.6411064882944716
6a,76,0.7045592852520647
6a,77,0.514032609653504
6a,78,0.3908176889277452
6a,79,0.5591971055737647
6a,8,0.6514896572554345
6a,80,0.8196708233154032
6a,81,0.718541632992681
6a,82,0.6071717010718313
6a,83,0.6906512087931524
6a,84,0.6094214744144137
6a,85,0.6115283395345903
6a,86,0.5703561185907288
6a,87,0.686427727135057
6a,88,0.6435222257209191
6a,89,0.511692635799396
6a,9,0.7147459254168748
6a,90,0.6812949446444219
6a,91,0.6657853458437192
6a,92,0.661624086986248
6a,93,0.6390055030815948
6a,94,0.6207991611261676
6a,95,0.5210921679312622
6a,96,0.5531621853408498
6a,97,0.6574400141196879
6a,98,0.598584445244858
6a,99,0.44070644529640707
6b,1,0.9088102233698068
6b,10,0.8438173898282335
6b,100,0.8330693562259024
6b,11,0.8156438984497559
6b,12,0.8876745281679425
6b,13,0.9128592957809465
6b,14,0.8660316852732394
6b,15,0.8350010882372154
6b,16,0.8564532415449183
6b,17,0.9224227910863368
6b,18,0.8438602176828482
6b,19,0.8632308285472473
